path,bytes,kind,width,height
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5853.JPG,3398860,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5854.JPG,3254759,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5855.JPG,2887384,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5856.JPG,2956841,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5857.JPG,2896515,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5858.JPG,2861762,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5859.JPG,2956522,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5863.JPG,3333368,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5864.JPG,3494231,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5865.JPG,3407900,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5866.JPG,3214931,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5867.JPG,3287512,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5868.JPG,3002106,image,3504,2336
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5869.JPG,3212801,image,3504,2336
unsorted-source-material/Pictures/DSC00262.JPG,2430757,image,3264,2448
unsorted-source-material/Pictures/DSC00263.JPG,2407919,image,3264,2448
unsorted-source-material/Pictures/DSC00264.JPG,2218525,image,3264,2448
unsorted-source-material/Pictures/DSC00265.JPG,2438508,image,3264,2448
unsorted-source-material/Pictures/DSC00266.JPG,2418856,image,3264,2448
unsorted-source-material/Pictures/DSC00267.JPG,2455832,image,3264,2448
unsorted-source-material/Pictures/DSC00282.JPG,2385780,image,3264,2448
unsorted-source-material/Pictures/DSC00283.JPG,2292000,image,3264,2448
unsorted-source-material/Pictures/DSC00284.JPG,2312431,image,3264,2448
unsorted-source-material/Pictures/Philips VP415 LaserVision Player Rear.jpg,474366,image,2874,1176
unsorted-source-material/Pictures/Philips VP415 LaserVision Player.jpg,434506,image,3242,1806
unsorted-source-material/VP415 ROM dumps/Rom descriptions.txt,404,text,,
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.BIN,65536,firmware,,
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.zip,23379,archive,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images.zip,56154,archive,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/S 3104 103 6804 9 CONTROL V1_8 0x6728.BIN,65536,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 2 CPU V1_3 0xB42D.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 3 CPU V1_4 0x8F90.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 2 CPU V1_3 0x1A1C.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 3 CPU V1_4 0x56D7.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6807 0 CPU V1_0 0x1FBE.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6808 0 CPU V1_0 0xD120.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/VP415 ROM version survey.jpg,217315,image,1822,1286
unsorted-source-material/VP415 ROM dumps/VP415 ROM version survey.png,1775723,image,3510,2482
unsorted-source-material/VP415 ROM dumps/domesday_6803_drive.bin,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6807.rom,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6807.zip,2643,archive,,
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6808.rom,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6808.zip,289,archive,,
unsorted-source-material/VP415 ROM dumps/drive_rom_sdi.BIN,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/W 3104 103 6805 2 CPU V1_3 0xB42D.bin,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/W 3104 103 6806 2 CPU V1_3 0x1A1C.bin,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6803_drive 0x68FF.rom,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6804_control 0x6728.rom,65536,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6807_descrambler 0x1FBE.rom,16384,firmware,,
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6808_sync 0xD120.rom,16384,firmware,,
unsorted-source-material/VP415 repair/7/Diagnostic mode reports error 7.docx,182461,office,,
unsorted-source-material/VP415 repair/7/FOC-ER input to Module J.png,31891,image,800,512
unsorted-source-material/VP415 repair/7/Module J DSG of 6206.png,46991,image,800,512
unsorted-source-material/VP415 repair/7/Module J test FOC-ER and pins5-6 7001.png,42938,image,800,512
unsorted-source-material/VP415 repair/7/Module J test from startup to fail in diagnostic mode.png,44403,image,800,512
unsorted-source-material/VP415 repair/Diagnostic mode reports error 9.docx,204694,office,,
unsorted-source-material/VP415 repair/Module G 1G1.png,24480,image,800,512
unsorted-source-material/VP415 repair/Module G 2G1.png,24707,image,800,512
unsorted-source-material/VP415 repair/Module G 3G2.png,37836,image,800,512
unsorted-source-material/VP415 repair/Module G 6G1.png,26286,image,800,512
unsorted-source-material/VP415 repair/Module G 6G2.png,21480,image,800,512
unsorted-source-material/VP415 repair/Module G 8G1.png,27543,image,800,512
unsorted-source-material/VP415 repair/Module G E 7014.png,26141,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5002 post.png,46535,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5002 pre.png,44886,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5003 post.png,32188,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5004 post.png,84650,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5004 pre.png,69053,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3045 post.png,50903,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3045 pre.png,50451,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R308 pre.png,49536,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 post.png,39924,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 pre 2.png,40057,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 pre.png,52915,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3082 post.png,56529,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3082 pre.png,56662,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3084 post.png,57698,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3084 pre.png,57814,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/Calibration and adjustment of RGB Module.docx,1998491,office,,
unsorted-source-material/VP415 repair/RGB Module calibration/RGB Module diagram.pptx,1397658,office,,
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/B-Signal after black-level adjustment 4B3.png,58789,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/B-signal adjustment of 3084.png,35909,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Bandpass adjustment on IC 7201 pin 15.png,86712,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/CVBS input signal on 1B1.png,63778,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Chroma over and under shoot adjustment on 10B3.png,32938,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Chroma rest adjustment 10B3 of L5002.png,42362,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/G-signal after luminance adjustment 3B3.png,28326,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/R-signal after adjustment 2B3.png,32303,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/RGB Module diagram.png,2302979,image,2000,1319
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector Diagram Colour Bar.png,218708,image,895,722
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram after adjustment of 2015.png,58822,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram after adjustment of L5007.png,34851,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram before adjustment.png,61187,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram with delay line off.png,30874,image,800,512
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram with delay line on.png,36952,image,800,512
unsorted-source-material/misc/Disc information bytes from a real VP415.docx,12767,office,,
unsorted-source-material/misc/Disc information bytes from a real VP415.pdf,185612,pdf,,
unsorted-source-material/misc/MB88303-Fujitsu.pdf,905787,pdf,,
unsorted-source-material/misc/vp415Fcode.xlsx,13862,office,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/markdown.md,124332,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-1/markdown.md,89,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-1/page-metadata.json,1531,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-10/markdown.md,4066,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-10/page-metadata.json,15639,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-11/markdown.md,132,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-11/page-metadata.json,1744,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-12/markdown.md,1876,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-12/page-metadata.json,4778,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-13/markdown.md,704,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-13/page-metadata.json,6733,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-14/markdown.md,4903,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-14/page-metadata.json,13578,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-15/markdown.md,4910,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-15/page-metadata.json,9764,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-16/markdown.md,6073,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-16/page-metadata.json,13593,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-17/markdown.md,499,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-17/page-metadata.json,2485,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-18/markdown.md,2,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-18/page-metadata.json,328,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-19/markdown.md,160,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-19/page-metadata.json,1957,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-2/markdown.md,364,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-2/page-metadata.json,2723,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-20/markdown.md,2325,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-20/page-metadata.json,5599,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-21/markdown.md,769,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-21/page-metadata.json,4409,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-22/img-10.jpeg,3081,image,89,65
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-22/img-11.jpeg,2079,image,75,49
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-22/markdown.md,4977,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-22/page-metadata.json,12766,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-23/markdown.md,3940,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-23/page-metadata.json,5676,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-24/markdown.md,1280,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-24/page-metadata.json,3582,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-25/markdown.md,1889,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-25/page-metadata.json,3181,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-26/markdown.md,2,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-26/page-metadata.json,328,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-27/markdown.md,1614,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-27/page-metadata.json,14635,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-28/markdown.md,140,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-28/page-metadata.json,654,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-29/markdown.md,3625,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-29/page-metadata.json,18704,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-3/img-0.jpeg,19205,image,504,281
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-3/img-1.jpeg,26080,image,515,287
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-3/img-2.jpeg,7829,image,105,241
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-3/markdown.md,123,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-3/page-metadata.json,1288,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-30/markdown.md,3441,text,,
unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150015Z/Philips-VP415-Operating-Instructions.pdf/pages/page-30/page-metadata.json,22970,text,,
