source_path,dest_path,origin,disposition,profile,sheet,cs_code,notes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_019.webp,docs/system/assets/originals/cs-7-829-figure-p019.webp,sheet-map,publish,schematic,019,CS 7 829,Module and connector lay-out
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_020.webp,docs/system/assets/originals/cs-7-830-table-p020.webp,sheet-map,publish,schematic,020,CS 7 830,Alphabetical signal listing
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_021_022.webp,docs/system/assets/originals/cs-7-831-figure-p021-022.webp,sheet-map,publish,schematic,021_022,CS 7 831,Wiring diagram - player (WDP) - left portion
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_023.webp,docs/system/assets/originals/cs-7-832-figure-p023.webp,sheet-map,publish,schematic,023,CS 7 832,Wiring diagram - sandwich (WDS)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_024.webp,docs/system/assets/originals/cs-7-833-figure-p024.webp,sheet-map,publish,schematic,024,CS 7 833,Block diagram - control routes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_025.webp,docs/system/assets/originals/cs-7-834-figure-p025.webp,sheet-map,publish,schematic,025,CS 7 834,Block diagram - audio/video signal path
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_026.webp,docs/system/assets/originals/cs-7-835-figure-p026.webp,sheet-map,publish,schematic,026,CS 7 835,Block diagram - servo
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_027.webp,docs/general-service/assets/originals/cs-8-121-figure-p027.webp,sheet-map,publish,schematic,027,CS 8 121,Connections of semiconductors
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_028.webp,docs/modules/assets/originals/divider-p028.webp,sheet-map,publish,text-page,028,,Chapter 4 divider (Modules A to Z)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_029.webp,docs/modules/assets/originals/cs-7-855-table-p029.webp,sheet-map,publish,text-page,029,CS 7 855,Survey of modules VP415
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_030_031.webp,docs/modules/v-module-carrier/assets/originals/cs-7-836-pcb-layout-p030-031.webp,sheet-map,publish,schematic,030_031,CS 7 836,Module carrier V - PCB lay-out (component/solder side)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_032.webp,docs/modules/a-audio-processor/assets/originals/module-sheet-p032.webp,sheet-map,publish,schematic,032,,Audio processor module A (mod level 2) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_033.webp,docs/modules/a-audio-processor/assets/originals/cs-6-867-circuit-p033.webp,sheet-map,publish,schematic,033,CS 6 867,Audio processor module A - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_034.webp,docs/modules/b-rgb/assets/originals/cs-6-868-circuit-p034.webp,sheet-map,publish,schematic,034,CS 6 868,RGB module B - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_035_036.webp,docs/modules/b-rgb/assets/originals/cs-7-838-module-sheet-p035-036.webp,sheet-map,publish,schematic,035_036,CS 7 838,RGB module B (mod level 5) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_037.webp,docs/modules/c-video-processor/assets/originals/module-sheet-p037.webp,sheet-map,publish,schematic,037,,Video processor module C (mod level 3) - PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_038.webp,docs/modules/c-video-processor/assets/originals/cs-6-869-circuit-p038.webp,sheet-map,publish,schematic,038,CS 6 869,Video processor module C - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_039_040.webp,docs/modules/d-reference-source/assets/originals/cs-6-870-circuit-p039-040.webp,sheet-map,publish,schematic,039_040,CS 6 870,Reference source module D - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_041.webp,docs/modules/d-reference-source/assets/originals/cs-7-840-module-sheet-p041.webp,sheet-map,publish,schematic,041,CS 7 840,Reference source module D (mod level 2) - PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_042.webp,docs/modules/e-slide-drive/assets/originals/cs-7-841-module-sheet-p042.webp,sheet-map,publish,schematic,042,CS 7 841,Slide drive module E (mod level 3) - PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_043.webp,docs/modules/e-slide-drive/assets/originals/cs-6-871-circuit-p043.webp,sheet-map,publish,schematic,043,CS 6 871,Slide drive module E - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_044.webp,docs/modules/f-motor-sequence/assets/originals/cs-6-872-circuit-p044.webp,sheet-map,publish,schematic,044,CS 6 872,Motor + sequence module F - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_045.webp,docs/modules/f-motor-sequence/assets/originals/cs-7-842-module-sheet-p045.webp,sheet-map,publish,schematic,045,CS 7 842,Motor + sequence module F (mod level 5) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_046.webp,docs/modules/g-genlock/assets/originals/cs-7-843-module-sheet-p046.webp,sheet-map,publish,schematic,046,CS 7 843,Gen lock module G (mod level 3) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_047.webp,docs/modules/g-genlock/assets/originals/cs-6-873-circuit-p047.webp,sheet-map,publish,schematic,047,CS 6 873,Gen lock module G - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_048.webp,docs/modules/h-etbc-b/assets/originals/cs-6-874-circuit-p048.webp,sheet-map,publish,schematic,048,CS 6 874,ETBC-B module H - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_049.webp,docs/modules/h-etbc-b/assets/originals/cs-7-844-module-sheet-p049.webp,sheet-map,publish,schematic,049,CS 7 844,ETBC-B module H (mod level 5) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_050.webp,docs/modules/i-etbc-c/assets/originals/cs-7-845-module-sheet-p050.webp,sheet-map,publish,schematic,050,CS 7 845,ETBC-C module I (mod level 6) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_051.webp,docs/modules/i-etbc-c/assets/originals/cs-6-875-circuit-p051.webp,sheet-map,publish,schematic,051,CS 6 875,ETBC-C module I - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_054.webp,docs/modules/k-hf-processor/assets/originals/cs-7-847-module-sheet-p054.webp,sheet-map,publish,schematic,054,CS 7 847,HF processor module K (mod level 0) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_055.webp,docs/modules/k-hf-processor/assets/originals/cs-6-877-circuit-p055.webp,sheet-map,publish,schematic,055,CS 6 877,HF processor module K - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_056.webp,docs/modules/l-video-dropout-correction/assets/originals/cs-6-878-circuit-p056.webp,sheet-map,publish,schematic,056,CS 6 878,Video drop-out correction module L - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_057.webp,docs/modules/l-video-dropout-correction/assets/originals/cs-7-848-module-sheet-p057.webp,sheet-map,publish,schematic,057,CS 7 848,Video drop-out correction module L (mod level 0) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_058.webp,docs/modules/m-radial/assets/originals/cs-7-849-module-sheet-p058.webp,sheet-map,publish,schematic,058,CS 7 849,Radial module M (mod level 1) - PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_059.webp,docs/modules/m-radial/assets/originals/cs-6-879-circuit-p059.webp,sheet-map,publish,schematic,059,CS 6 879,Radial module M - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_060.webp,docs/modules/n-display-keyboard/assets/originals/cs-6-880-circuit-p060.webp,sheet-map,publish,schematic,060,CS 6 880,Display + keyboard module N - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_061_062.webp,docs/modules/n-display-keyboard/assets/originals/cs-7-850-module-sheet-p061-062.webp,sheet-map,publish,schematic,061_062,CS 7 850,"Display + keyboard module N (mod level 1) - PCB / parts [panels span modules N, P]"
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_063_064.webp,docs/modules/r-drive-processor/assets/originals/cs-7-851-circuit-p063-064.webp,sheet-map,publish,schematic,063_064,CS 7 851,"RC5 circuit module Q; list of electrical parts module R [panels span modules Q, R]"
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_065_066.webp,docs/modules/r-drive-processor/assets/originals/cs-6-883-circuit-p065-066.webp,sheet-map,publish,schematic,065_066,CS 6 883,Drive processor module R - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_067_068.webp,docs/modules/s-control/assets/originals/cs-6-884-circuit-p067-068.webp,sheet-map,publish,schematic,067_068,CS 6 884,Control module S - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_069_070.webp,docs/modules/s-control/assets/originals/cs-7-852-module-sheet-p069-070.webp,sheet-map,publish,schematic,069_070,CS 7 852,Control module S (mod level 3) - parts
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_071_072.webp,docs/modules/t-supply/assets/originals/cs-7-853-module-sheet-p071-072.webp,sheet-map,publish,schematic,071_072,CS 7 853,Supply module T (mod level 1) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_073.webp,docs/modules/t-supply/assets/originals/cs-6-885-circuit-p073.webp,sheet-map,publish,schematic,073,CS 6 885,Supply module T - circuit diagram (switched mode power supply)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_074.webp,docs/modules/u-analog-io/assets/originals/cs-6-886-circuit-p074.webp,sheet-map,publish,schematic,074,CS 6 886,Analog I/O module Ua (CVBS + audio part) - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_075_076.webp,docs/modules/u-analog-io/assets/originals/cs-7-854-module-sheet-p075-076.webp,sheet-map,publish,schematic,075_076,CS 7 854,Analog I/O module U (mod level 3) - parts
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_077_078.webp,docs/modules/u-analog-io/assets/originals/cs-7-854-module-sheet-p077-078.webp,sheet-map,publish,schematic,077_078,CS 7 854,Analog I/O module U - parts (continued)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_079.webp,docs/modules/u-analog-io/assets/originals/cs-6-887-circuit-p079.webp,sheet-map,publish,schematic,079,CS 6 887,Analog I/O module Ub (video part) - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_080.webp,docs/modules/u-analog-io/assets/originals/cs-6-888-circuit-p080.webp,sheet-map,publish,schematic,080,CS 6 888,Analog I/O module Uc (TXT part) - circuit diagram
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_081.webp,docs/modules/u-analog-io/assets/originals/adjustments-p081.webp,sheet-map,publish,text-page,081,,Analog I/O module U - adjustments
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_082.webp,docs/modules/u-analog-io/assets/originals/cs-7-856-adjustments-p082.webp,sheet-map,publish,schematic,082,CS 7 856,Analog I/O module U - adjustments (continued) / connector detail
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_083.webp,docs/modules/w-cpu-data-grabber/assets/originals/cs-7-857-parts-p083.webp,sheet-map,publish,text-page,083,CS 7 857,List of electrical parts module W (EPROMs)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_084.webp,docs/modules/w-cpu-data-grabber/assets/originals/pcb-layout-p084.webp,sheet-map,publish,schematic,084,,CPU + data grabber module W (mod level 2) - PCB / parts
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_085_086.webp,docs/modules/w-cpu-data-grabber/assets/originals/cs-6-889-circuit-p085-086.webp,sheet-map,publish,schematic,085_086,CS 6 889,CPU + data grabber module W - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_087_088.webp,docs/modules/w-cpu-data-grabber/assets/originals/cs-6-890-circuit-p087-088.webp,sheet-map,publish,schematic,087_088,CS 6 890,CPU + data grabber module W - circuit diagram (EPROM section)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_089.webp,docs/modules/w-cpu-data-grabber/assets/originals/cs-8-122-pcb-layout-p089.webp,sheet-map,publish,schematic,089,CS 8 122,CPU + data grabber module W - PCB lay-out (later revision)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_090.webp,docs/modules/w-cpu-data-grabber/assets/originals/cs-7-858-pcb-layout-p090.webp,sheet-map,publish,schematic,090,CS 7 858,CPU + data grabber module W - PCB lay-out
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_091_092.webp,docs/modules/x-lv-rom-decoder/assets/originals/cs-7-859-module-sheet-p091-092.webp,sheet-map,publish,schematic,091_092,CS 7 859,LV-ROM decoder module X (mod level 3) - adjustments / PCB / parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_093.webp,docs/modules/x-lv-rom-decoder/assets/originals/cs-6-891-circuit-p093.webp,sheet-map,publish,schematic,093,CS 6 891,LV-ROM decoder module X - circuit diagram
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_094_095.webp,docs/modules/y-video-mixer/assets/originals/cs-6-892-circuit-p094-095.webp,sheet-map,publish,schematic,094_095,CS 6 892,Video mixer module Y - circuit diagram (mode switch / buffer+clamp / mixers)
unsorted-source-material/vp415 service manual/A4 trifold/vp415-colour300dpi-fixed_Page_096_097.webp,docs/modules/y-video-mixer/assets/originals/cs-7-860-module-sheet-p096-097.webp,sheet-map,publish,schematic,096_097,CS 7 860,Video mixer module Y (mod level 4) - parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_098.webp,docs/modules/z-deck-electronics/assets/originals/cs-7-861-module-sheet-p098.webp,sheet-map,publish,schematic,098,CS 7 861,Deck electronics module Z - parts
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_099.webp,docs/modules/z-deck-electronics/assets/originals/cs-6-893-circuit-p099.webp,sheet-map,publish,schematic,099,CS 6 893,Deck electronics module Z - circuit diagram (laser detection unit)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_100.webp,docs/modules/remote-control/assets/originals/cs-7-862-module-sheet-p100.webp,sheet-map,publish,schematic,100,CS 7 862,Remote control RC53/VP410/VP415 transmitter - exploded view / PCB
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_101.webp,docs/parts/assets/originals/divider-p101.webp,sheet-map,publish,text-page,101,,Chapter 5 divider (Exploded views and parts lists)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_102.webp,docs/parts/assets/originals/cs-7-863-figure-p102.webp,sheet-map,publish,schematic,102,CS 7 863,Exploded view - cabinet
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_103.webp,docs/parts/assets/originals/cs-7-864-figure-p103.webp,sheet-map,publish,schematic,103,CS 7 864,Exploded view - sandwich
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_104.webp,docs/parts/assets/originals/cs-7-865-figure-p104.webp,sheet-map,publish,schematic,104,CS 7 865,Exploded view - frontloader
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_105.webp,docs/parts/assets/originals/cs-7-866-figure-p105.webp,sheet-map,publish,schematic,105,CS 7 866,Exploded view - disc drive
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_106.webp,docs/repair/assets/originals/divider-p106.webp,sheet-map,publish,text-page,106,,Chapter 6 divider (Repair method)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_107.webp,docs/repair/assets/originals/cs-8-110-text-p107.webp,sheet-map,publish,text-page,107,CS 8 110,Repair method - title page and contents
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_108.webp,docs/repair/assets/originals/cs-8-111-text-p108.webp,sheet-map,publish,text-page,108,CS 8 111,Introduction / diagnostic software
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_109.webp,docs/repair/assets/originals/cs-8-112-text-p109.webp,sheet-map,publish,text-page,109,CS 8 112,Reproducing the error codes on the screen
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_110.webp,docs/repair/assets/originals/cs-8-113-text-p110.webp,sheet-map,publish,text-page,110,CS 8 113,Programme loop in the self-test mode
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_111.webp,docs/repair/assets/originals/cs-8-114-table-p111.webp,sheet-map,publish,text-page,111,CS 8 114,Meaning of the error codes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_112.webp,docs/repair/assets/originals/cs-8-115-text-p112.webp,sheet-map,publish,text-page,112,CS 8 115,Fault finding - meaning of the symbols used
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_113.webp,docs/repair/assets/originals/cs-8-116-figure-p113.webp,sheet-map,publish,schematic,113,CS 8 116,Test procedure flow chart
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_114.webp,docs/repair/assets/originals/cs-8-117-figure-p114.webp,sheet-map,publish,schematic,114,CS 8 117,Fault finding chart 1 - no display
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_115.webp,docs/repair/assets/originals/cs-8-118-figure-p115.webp,sheet-map,publish,schematic,115,CS 8 118,Fault finding chart 2 - error code <60 (self test mode)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_116.webp,docs/repair/assets/originals/cs-8-119-figure-p116.webp,sheet-map,publish,schematic,116,CS 8 119,"Fault finding chart - time out tilt, laser not on, not out of focus"
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_117.webp,docs/repair/assets/originals/cs-8-120-figure-p117.webp,sheet-map,publish,schematic,117,CS 8 120,"Fault finding chart - not in focus after 5 attempts, motor speed error, frame lock"
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_118.webp,docs/circuit-description/assets/originals/divider-p118.webp,sheet-map,publish,text-page,118,,Chapter 7 divider (Circuit description)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_119.webp,docs/parts/assets/originals/cs-7-867-figure-p119.webp,sheet-map,publish,schematic,119,CS 7 867,Exploded view - optical deck [bound after chapter 7 divider]
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_120.webp,docs/parts/assets/originals/cs-7-868-table-p120.webp,sheet-map,publish,text-page,120,CS 7 868,List of mechanical parts - fixing materials / optical deck
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_121.webp,docs/parts/assets/originals/cs-7-869-table-p121.webp,sheet-map,publish,text-page,121,CS 7 869,List of mechanical parts - disc drive / sandwich / cabinet
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_122.webp,docs/parts/assets/originals/cs-7-870-table-p122.webp,sheet-map,publish,text-page,122,CS 7 870,List of electrical parts - remote control / integrated circuits
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_123.webp,docs/parts/assets/originals/cs-7-871-table-p123.webp,sheet-map,publish,text-page,123,CS 7 871,List of electrical parts - transistors / diodes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_124.webp,docs/parts/assets/originals/cs-7-872-table-p124.webp,sheet-map,publish,text-page,124,CS 7 872,List of electrical parts - standard resistors
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_125.webp,docs/circuit-description/assets/originals/cs-7-874-text-p125.webp,sheet-map,publish,text-page,125,CS 7 874,Circuit description - title page and contents
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_126.webp,docs/circuit-description/assets/originals/cs-7-875-text-p126.webp,sheet-map,publish,text-page,126,CS 7 875,The LaserVision system - introduction / encoding
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_127.webp,docs/circuit-description/assets/originals/cs-7-876-text-p127.webp,sheet-map,publish,text-page,127,CS 7 876,Lead-in / lead-out tracks / programme area
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_128.webp,docs/circuit-description/assets/originals/cs-7-877-text-p128.webp,sheet-map,publish,text-page,128,CS 7 877,Radial tracking / time base correction / genlock
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_129.webp,docs/circuit-description/assets/originals/cs-7-878-figure-p129.webp,sheet-map,publish,schematic,129,CS 7 878,Fig. OD1 - optical deck
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_130.webp,docs/circuit-description/assets/originals/cs-7-879-text-p130.webp,sheet-map,publish,text-page,130,CS 7 879,The optical deck
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_131.webp,docs/circuit-description/assets/originals/cs-7-880-text-p131.webp,sheet-map,publish,text-page,131,CS 7 880,Active tilt control (ATC)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_132.webp,docs/circuit-description/assets/originals/text-p132.webp,sheet-map,publish,text-page,132,,VP400 series - introduction / audio-video signal path
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_133.webp,docs/circuit-description/assets/originals/cs-7-581-figure-p133.webp,sheet-map,publish,schematic,133,CS 7 581,Fig. SP1 - audio/video signal path
