path,bytes,width,height,disposition,dest_dir,dest_name,profile,notes
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP410_Module_S_Control.hex,2893,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_Complete_D8041AHC_NEC_VP410_Module_S_Control.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_S_Control.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_Complete_D8041AHC_NEC_VP415_Module_S_Control.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_W_CPU.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_Complete_D8041AHC_NEC_VP415_Module_W_CPU.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/Complete/VP410 Module S 8041 Slave CPU image.zip,1462,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/Microcontroller dumps/Complete/VP415 Module S and W 8041 Slave CPU images.zip,3060,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC.pdf,760346,,,download,docs/reference/assets/originals/datasheets,d8041ahc-nec.pdf,none,device datasheet
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 2.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control 2.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 3.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control 3.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control.hex,8848,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 2.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU 2.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 3.hex,2891,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU 3.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU.hex,8848,,,download,docs/reference/assets/originals/firmware,Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU.hex,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8741A.pdf,356573,,,download,docs/reference/assets/originals/datasheets,d8741a.pdf,none,device datasheet
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.png,36727,860,1168,publish,docs/reference/calibration/assets/originals,deck-electronics-potentiometer-layout.png,photo,annotated potentiometer photo
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.pptx,35002,,,publish,docs/reference/calibration/assets/originals,deck-electronics-potentiometer-layout.pptx,none,editable source (manifest §11.2)
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.png,5164962,1386,1540,publish,docs/reference/calibration/assets/originals,deck-electronics-potentiometers.png,photo,annotated potentiometer photo
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.pptx,2890124,,,publish,docs/reference/calibration/assets/originals,deck-electronics-potentiometers.pptx,none,editable source (manifest §11.2)
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Gain.PNG,25922,572,832,publish,docs/reference/calibration/assets/originals,deck-focus-gain.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Radial Ratio.PNG,26738,572,832,publish,docs/reference/calibration/assets/originals,deck-focus-radial-ratio.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/HF Amplitude.PNG,25825,572,832,publish,docs/reference/calibration/assets/originals,deck-hf-amplitude.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Balance.PNG,26479,572,832,publish,docs/reference/calibration/assets/originals,deck-radial-balance.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Gain.PNG,26151,572,832,publish,docs/reference/calibration/assets/originals,deck-radial-gain.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Tilt Offset.PNG,25370,572,832,publish,docs/reference/calibration/assets/originals,deck-tilt-offset.png,scope-trace,deck electronics adjustment trace
unsorted-source-material/Module photos/Module Layout.jpg,952780,2362,2250,publish,docs/system/assets/originals,module-layout-annotated.jpg,photo,annotated overhead shot naming all 18 in-situ modules
unsorted-source-material/Module photos/Module Layout.pptx,2450240,,,publish,docs/system/assets/originals,module-layout-annotated.pptx,none,editable source of the annotations (manifest §11.2)
unsorted-source-material/Module photos/Module V diagram.jpg,386636,3138,3009,publish,docs/modules/v-module-carrier/assets/originals,module-carrier-diagram.jpg,photo,
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc bottom.jpg,4185153,4792,1155,publish,docs/modules/a-audio-processor/assets/originals,a-audio-processor-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc top.jpg,3642888,4705,1138,publish,docs/modules/a-audio-processor/assets/originals,a-audio-processor-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module B - RGB bottom.jpg,3909909,4853,1148,publish,docs/modules/b-rgb/assets/originals,b-rgb-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module B - RGB top.jpg,3727588,4752,1142,publish,docs/modules/b-rgb/assets/originals,b-rgb-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc bottom.jpg,3560323,4348,1131,publish,docs/modules/c-video-processor/assets/originals,c-video-processor-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc top.jpg,3330961,4238,1112,publish,docs/modules/c-video-processor/assets/originals,c-video-processor-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source bottom.jpg,4096344,4798,1132,publish,docs/modules/d-reference-source/assets/originals,d-reference-source-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source top.jpg,3589678,4693,1116,publish,docs/modules/d-reference-source/assets/originals,d-reference-source-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive bottom.jpg,2027469,2436,1155,publish,docs/modules/e-slide-drive/assets/originals,e-slide-drive-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive top.jpg,1969690,2420,1131,publish,docs/modules/e-slide-drive/assets/originals,e-slide-drive-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module F - Motor bottom.jpg,3529821,4791,1148,publish,docs/modules/f-motor-sequence/assets/originals,f-motor-sequence-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module F - Motor top.jpg,3810966,4779,1126,publish,docs/modules/f-motor-sequence/assets/originals,f-motor-sequence-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock bottom.jpg,4549553,4904,1182,publish,docs/modules/g-genlock/assets/originals,g-genlock-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock top.jpg,3904806,4828,1168,publish,docs/modules/g-genlock/assets/originals,g-genlock-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B bottom.jpg,4230415,4775,1137,publish,docs/modules/h-etbc-b/assets/originals,h-etbc-b-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B top.jpg,4009301,4698,1140,publish,docs/modules/h-etbc-b/assets/originals,h-etbc-b-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C bottom.jpg,3966155,4739,1140,publish,docs/modules/i-etbc-c/assets/originals,i-etbc-c-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C top.jpg,3610700,4662,1116,publish,docs/modules/i-etbc-c/assets/originals,i-etbc-c-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module J - Focus bottom.jpg,2121105,2434,1124,publish,docs/modules/j-focus/assets/originals,j-focus-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module J - Focus top.jpg,1923715,2382,1119,publish,docs/modules/j-focus/assets/originals,j-focus-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc bottom.jpg,3573725,4766,1118,publish,docs/modules/k-hf-processor/assets/originals,k-hf-processor-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc top.jpg,3958681,4694,1124,publish,docs/modules/k-hf-processor/assets/originals,k-hf-processor-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr bottom.jpg,3729203,4755,1160,publish,docs/modules/l-video-dropout-correction/assets/originals,l-video-dropout-correction-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr top.jpg,3310947,4690,1121,publish,docs/modules/l-video-dropout-correction/assets/originals,l-video-dropout-correction-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module M - Radial bottom.jpg,4179733,4740,1127,publish,docs/modules/m-radial/assets/originals,m-radial-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module M - Radial top.jpg,3777147,4689,1134,publish,docs/modules/m-radial/assets/originals,m-radial-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader bottom.jpg,2077622,2012,1345,publish,docs/modules/p-frontloader/assets/originals,p-frontloader-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader top.jpg,1569419,1995,1359,publish,docs/modules/p-frontloader/assets/originals,p-frontloader-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc bottom.jpg,6076357,4912,1718,publish,docs/modules/r-drive-processor/assets/originals,r-drive-processor-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc top.jpg,4980774,4853,1706,publish,docs/modules/r-drive-processor/assets/originals,r-drive-processor-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module S - Control bottom.jpg,5923453,4931,1744,publish,docs/modules/s-control/assets/originals,s-control-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module S - Control top.jpg,4910516,4834,1713,publish,docs/modules/s-control/assets/originals,s-control-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module T - Supply top.jpg,4268414,4982,1642,publish,docs/modules/t-supply/assets/originals,t-supply-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO bottom.jpg,7745578,3999,3015,publish,docs/modules/u-analog-io/assets/originals,u-analog-io-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO top.jpg,7214053,4057,3323,publish,docs/modules/u-analog-io/assets/originals,u-analog-io-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber bottom.jpg,8162315,5138,2669,publish,docs/modules/w-cpu-data-grabber/assets/originals,w-cpu-data-grabber-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber top.jpg,7116067,5092,2656,publish,docs/modules/w-cpu-data-grabber/assets/originals,w-cpu-data-grabber-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec bottom.jpg,9468031,4769,3168,publish,docs/modules/x-lv-rom-decoder/assets/originals,x-lv-rom-decoder-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec top.jpg,7619115,4653,3027,publish,docs/modules/x-lv-rom-decoder/assets/originals,x-lv-rom-decoder-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix bottom.jpg,8706628,4810,3107,publish,docs/modules/y-video-mixer/assets/originals,y-video-mixer-bottom.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix top.jpg,8011126,4636,3113,publish,docs/modules/y-video-mixer/assets/originals,y-video-mixer-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Remote control top.jpg,3429356,4458,1875,publish,docs/modules/remote-control/assets/originals,remote-control-top.jpg,module-photo,
unsorted-source-material/Module photos/Plug in modules/Rermote control bottom.jpg,3596491,4463,1858,publish,docs/modules/remote-control/assets/originals,remote-control-bottom.jpg,module-photo,
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5845.JPG,3006991,3504,2336,publish,docs/overview/assets/originals,img-5845.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5846.JPG,3056195,3504,2336,publish,docs/overview/assets/originals,img-5846.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5847.JPG,2987774,3504,2336,publish,docs/overview/assets/originals,img-5847.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5848.JPG,3039698,3504,2336,publish,docs/overview/assets/originals,img-5848.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5849.JPG,2965365,3504,2336,publish,docs/overview/assets/originals,img-5849.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5850.JPG,2969356,3504,2336,publish,docs/overview/assets/originals,img-5850.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5851.JPG,2965399,3504,2336,publish,docs/overview/assets/originals,img-5851.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5852.JPG,2931720,3504,2336,publish,docs/overview/assets/originals,img-5852.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5853.JPG,3398860,3504,2336,publish,docs/overview/assets/originals,img-5853.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5854.JPG,3254759,3504,2336,publish,docs/overview/assets/originals,img-5854.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5855.JPG,2887384,3504,2336,publish,docs/overview/assets/originals,img-5855.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5856.JPG,2956841,3504,2336,publish,docs/overview/assets/originals,img-5856.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5857.JPG,2896515,3504,2336,publish,docs/overview/assets/originals,img-5857.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5858.JPG,2861762,3504,2336,publish,docs/overview/assets/originals,img-5858.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5859.JPG,2956522,3504,2336,publish,docs/overview/assets/originals,img-5859.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5863.JPG,3333368,3504,2336,publish,docs/overview/assets/originals,img-5863.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5864.JPG,3494231,3504,2336,publish,docs/overview/assets/originals,img-5864.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5865.JPG,3407900,3504,2336,publish,docs/overview/assets/originals,img-5865.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5866.JPG,3214931,3504,2336,publish,docs/overview/assets/originals,img-5866.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5867.JPG,3287512,3504,2336,publish,docs/overview/assets/originals,img-5867.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5868.JPG,3002106,3504,2336,publish,docs/overview/assets/originals,img-5868.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5869.JPG,3212801,3504,2336,publish,docs/overview/assets/originals,img-5869.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00262.JPG,2430757,3264,2448,publish,docs/overview/assets/originals,dsc00262.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00263.JPG,2407919,3264,2448,publish,docs/overview/assets/originals,dsc00263.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00264.JPG,2218525,3264,2448,publish,docs/overview/assets/originals,dsc00264.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00265.JPG,2438508,3264,2448,publish,docs/overview/assets/originals,dsc00265.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00266.JPG,2418856,3264,2448,publish,docs/overview/assets/originals,dsc00266.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00267.JPG,2455832,3264,2448,publish,docs/overview/assets/originals,dsc00267.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00282.JPG,2385780,3264,2448,publish,docs/overview/assets/originals,dsc00282.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00283.JPG,2292000,3264,2448,publish,docs/overview/assets/originals,dsc00283.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00284.JPG,2312431,3264,2448,publish,docs/overview/assets/originals,dsc00284.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/Philips VP415 LaserVision Player Rear.jpg,474366,2874,1176,publish,docs/overview/assets/originals,philips-vp415-laservision-player-rear.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/Philips VP415 LaserVision Player.jpg,434506,3242,1806,publish,docs/overview/assets/originals,philips-vp415-laservision-player.jpg,photo,exterior photograph - chapter 1 controls and connections
unsorted-source-material/VP415 ROM dumps/Rom descriptions.txt,404,,,convert,docs/reference/assets/originals,rom-descriptions.txt,none,provenance note quoted on the firmware page
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.BIN,65536,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP410 S Module - Control A 3104 103 68114.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.zip,23379,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/VP415 ROM dumps/VP415 ROM images.zip,56154,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/S 3104 103 6804 9 CONTROL V1_8 0x6728.BIN,65536,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_S 3104 103 6804 9 CONTROL V1_8 0x6728.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 2 CPU V1_3 0xB42D.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6805 2 CPU V1_3 0xB42D.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 3 CPU V1_4 0x8F90.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6805 3 CPU V1_4 0x8F90.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 2 CPU V1_3 0x1A1C.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6806 2 CPU V1_3 0x1A1C.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 3 CPU V1_4 0x56D7.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6806 3 CPU V1_4 0x56D7.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6807 0 CPU V1_0 0x1FBE.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6807 0 CPU V1_0 0x1FBE.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6808 0 CPU V1_0 0xD120.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_VP415 ROM images_W 3104 103 6808 0 CPU V1_0 0xD120.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM version survey.png,1775723,3510,2482,publish,docs/reference/assets/originals,cs-8-284-software-release-survey-upright.png,photo,CS 8 284 upright; the manual sheet is at page 187
unsorted-source-material/VP415 ROM dumps/domesday_6803_drive.bin,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_domesday_6803_drive.bin,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6807.rom,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_domesday_scsi_6807.rom,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6807.zip,2643,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6808.rom,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_domesday_scsi_6808.rom,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6808.zip,289,,,exclude,,,none,contents already present unpacked (manifest §11.1)
unsorted-source-material/VP415 ROM dumps/drive_rom_sdi.BIN,16384,,,download,docs/reference/assets/originals/firmware,VP415 ROM dumps_drive_rom_sdi.BIN,none,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
